,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT,Columna1
2304,1.0,120.67,19.3,0.0,0.0,139.97,139.97,0.0
2305,1.0,2865.0,458.4,0.0,0.0,3323.4,3323.4,0.0
2306,1.0,362.62,58.01,0.0,0.0,420.63,420.63,0.0
2307,1.0,857.05,137.13,0.0,0.0,994.18,994.18,0.0
2308,1.0,5754.57,920.73,0.0,0.0,6675.299999999999,6675.3,0.0
2309,1.0,126.72,20.28,0.0,0.0,147.0,147.0,0.0
2310,1.0,489.2,78.27,0.0,0.0,567.47,567.47,0.0
2311,1.0,8720.48,1395.28,0.0,523.23,9592.53,9592.53,0.0
2312,1.0,15285.12,0.0,0.0,0.0,0.0,214.9,214.9
2313,1.0,15285.12,0.0,0.0,0.0,0.0,2146.5,2146.5
2314,1.0,15285.12,2445.62,0.0,917.11,16813.63,16813.63,0.0
2315,1.0,146.26,23.4,0.0,0.0,169.66,169.66,0.0
2316,1.0,1982.76,317.24,0.0,0.0,2300.0,2300.0,0.0
2317,1.0,6660.0,1065.6,666.0,710.4,6349.200000000001,6349.2,0.0
2318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2319,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2320,1.0,138.13,22.1,0.0,0.0,160.23,160.23,0.0
2321,1.0,2699.83,431.97,0.0,0.0,3131.8,3131.8,0.0
2322,1.0,391.98,62.72,0.0,0.0,454.70000000000005,454.7,0.0
2323,1.0,20116.82,3218.69,0.0,24.141777845777234,22128.5,22128.5,0.0
2324,1.0,7437.6,1190.02,0.0,0.0,8627.62,8627.62,0.0
2325,1.0,371.29,59.4,0.0,0.0,430.69,430.69,0.0
2326,1.0,4885.98,723.84,0.0,0.0,5609.82,5609.82,0.0
2327,1.0,1651.91,264.31,0.0,0.0,1916.22,1916.22,0.0
2328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2329,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2330,1.0,20.95,3.35,0.0,0.0,24.3,24.3,0.0
2331,1.0,3600.0,576.0,0.0,0.0,4176.0,4176.0,0.0
2332,1.0,315.0,50.4,0.0,0.0,365.4,365.4,0.0
2333,1.0,180.0,0.0,0.0,0.0,180.0,180.0,0.0
2334,1.0,0.0,0.0,0.0,0.0,0.0,1574.55,1574.55
2335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2336,1.0,5899.0,943.84,0.0,0.0,6842.84,6842.84,0.0
2337,1.0,3686.0,589.76,0.0,0.0,4275.76,4275.76,0.0
2338,1.0,2275.0,364.0,0.0,0.0,2639.0,2639.0,0.0
2339,1.0,80.25,12.84,0.0,0.0,93.09,93.09,0.0
2340,1.0,3614.4,578.3,0.0,0.0,4192.7,4192.7,0.0
2341,1.0,144.0,23.04,0.0,0.0,167.04,167.04,0.0
2342,1.0,343.97,55.03,0.0,0.0,399.0,399.0,0.0
2343,1.0,2000.0,320.0,0.0,0.0,2320.0,2320.0,0.0
2344,1.0,1655.17,264.83,0.0,0.0,1920.0,1920.0,0.0
2345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2347,1.0,2429.7998379541914,4480.0,3.4901957241794643,24.141777845777234,26693.32,26693.32,0.0
2348,1.0,6000.0,960.0,0.0,0.0,6960.0,6960.0,0.0
2349,1.0,2209.99,353.6,0.0,0.0,2563.5899999999997,2563.59,0.0
2350,1.0,178.57,28.57,0.0,7.14,200.0,200.0,0.0
2351,1.0,66.96,10.71,0.0,0.0,77.66999999999999,77.67,0.0
2352,1.0,376.4,60.22,0.0,0.0,436.62,436.62,0.0
2353,1.0,266.44,42.63,0.0,0.0,309.07,309.07,0.0
2354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2355,1.0,198.0,31.68,0.0,0.0,229.68,229.68,0.0
2356,1.0,1350.0,216.0,0.0,0.0,1566.0,1566.0,0.0
2357,1.0,25.69,4.11,0.0,0.0,29.8,29.8,0.0
2358,1.0,297.41,47.59,0.0,0.0,345.0,345.0,0.0
2359,1.0,2429.7998379541914,426.2730216814529,0.0,0.0,2723.456093561184,3027.020691537761,0.0
2360,1.0,168.73,26.27,0.0,0.0,195.0,195.0,0.0
2361,1.0,900.0,144.0,0.0,0.0,1044.0,1044.0,0.0
2362,1.0,3.52,0.0,0.0,0.0,0.0,303.0,303.0
2363,1.0,3.52,0.0,0.0,0.0,0.0,72.0,72.0
2364,1.0,3.52,0.56,0.0,0.0,4.08,4.08,0.0
2365,1.0,885.0,141.6,0.0,0.0,1026.6,1026.6,0.0
2366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2367,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2368,1.0,1606.0,256.96,0.0,0.0,1862.96,1862.96,0.0
2369,1.0,3286.8,525.89,0.0,0.0,3812.69,3812.69,0.0
2370,1.0,560.0,89.6,0.0,0.0,649.6,649.6,0.0
2371,1.0,63.67,10.19,0.0,0.0,73.86,73.86,0.0
